D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,2,2,4,full_unit_dropout,dropout,2.252328,0.13173936,1.3327589,0.14401102,0.22914794,0.042667177
10,2,2,4,stochastic_depth,dropout,2.252328,0.13173936,1.3327589,0.14401102,0.22914794,0.042667177
10,2,2,4,single_source_M,dropout,1.521013,0.14780384,1.1587822,0.11237163,0.30255303,0.011729039
10,4,4,16,full_unit_dropout,dropout,1.7552637,0.066505075,1.1444936,0.13665992,0.15538445,0.017355917
10,4,4,16,stochastic_depth,dropout,1.9314249,0.06864233,1.2506988,0.0853012,0.18813325,0.026345832
10,4,4,16,single_source_M,dropout,1.8680521,0.082786955,1.4870617,0.056131173,0.23245034,0.040427174
10,4,8,32,full_unit_dropout,dropout,1.3946934,0.124428995,1.0282738,0.11963903,0.11727915,0.01995854
10,4,8,32,stochastic_depth,dropout,1.6305478,0.09738567,1.3321015,0.16659358,0.17846334,0.02412981
10,4,8,32,single_source_M,dropout,1.5537264,0.06298276,1.0977333,0.08759793,0.1316663,0.020053606
10,8,4,32,full_unit_dropout,dropout,1.6035134,0.081385314,1.2534136,0.088456735,0.17545302,0.0306173
10,8,4,32,stochastic_depth,dropout,1.6758665,0.14356059,1.2008545,0.12805176,0.16676857,0.014879871
10,8,4,32,single_source_M,dropout,1.7867174,0.15982905,1.2263715,0.13640764,0.235576,0.06522568
10,8,8,64,full_unit_dropout,dropout,1.2845166,0.09012371,0.8822033,0.07093774,0.1230814,0.022636857
10,8,8,64,stochastic_depth,dropout,1.6098206,0.116008,1.1131375,0.074707694,0.16613346,0.035195056
10,8,8,64,single_source_M,dropout,1.6009461,0.06931658,1.1623967,0.053053964,0.1742097,0.023977116
10,16,8,128,full_unit_dropout,dropout,1.1214788,0.07486455,0.825861,0.07068949,0.11342828,0.018481389
10,16,8,128,stochastic_depth,dropout,1.4240854,0.072654806,0.9961704,0.063264765,0.17544743,0.018952124
10,16,8,128,single_source_M,dropout,1.5401862,0.040623102,1.1627154,0.075691834,0.21248066,0.031433634
10,8,16,128,full_unit_dropout,dropout,0.97581136,0.02644389,0.67818505,0.035092354,0.08547466,0.014354749
10,8,16,128,stochastic_depth,dropout,1.4079463,0.12204953,1.0047661,0.12346267,0.12625149,0.032828927
10,8,16,128,single_source_M,dropout,1.178832,0.065596506,0.8201731,0.032588404,0.100271486,0.012855451
10,16,16,256,full_unit_dropout,dropout,0.8434259,0.016636876,0.63279915,0.04840969,0.073855415,0.012726871
10,16,16,256,stochastic_depth,dropout,1.1891104,0.09026888,0.79659605,0.07230696,0.12905928,0.03528072
10,16,16,256,single_source_M,dropout,1.136088,0.08492581,0.78139246,0.04161265,0.11455853,0.01837578
10,32,16,512,full_unit_dropout,dropout,0.753456,0.030363942,0.61313295,0.07907394,0.06477327,0.005572905
10,32,16,512,stochastic_depth,dropout,1.0060276,0.08453641,0.6942782,0.05153736,0.09511338,0.02286214
10,32,16,512,single_source_M,dropout,1.1325735,0.08921548,0.77862394,0.049091715,0.110769466,0.024987217
10,16,32,512,full_unit_dropout,dropout,0.6753981,0.038630873,0.5035679,0.038227808,0.04998956,0.0052720434
10,16,32,512,stochastic_depth,dropout,1.1538038,0.07234825,0.75519174,0.05317886,0.11961176,0.030457422
10,16,32,512,single_source_M,dropout,0.94912946,0.07752529,0.6797568,0.06690392,0.092615314,0.022178443
10,32,32,1024,full_unit_dropout,dropout,0.63523006,0.035406165,0.490458,0.044640537,0.045810565,0.008214828
10,32,32,1024,stochastic_depth,dropout,1.0464386,0.09471723,0.67445934,0.051478148,0.09404786,0.026028858
10,32,32,1024,single_source_M,dropout,1.020706,0.08034514,0.7281407,0.07616872,0.08986492,0.020749962
10,64,32,2048,full_unit_dropout,dropout,0.5640532,0.03834027,0.4429625,0.030832155,0.04207198,0.008988837
10,64,32,2048,stochastic_depth,dropout,0.9510975,0.10350579,0.62449616,0.07367456,0.06099543,0.014837013
10,64,32,2048,single_source_M,dropout,1.0539962,0.056063496,0.75089324,0.07107405,0.08615954,0.020475011
10,32,64,2048,full_unit_dropout,dropout,0.5436643,0.054795593,0.40444383,0.040686313,0.041573875,0.020165205
10,32,64,2048,stochastic_depth,dropout,1.08896,0.11578606,0.71274555,0.07107293,0.09290542,0.02414092
10,32,64,2048,single_source_M,dropout,0.8861367,0.063886955,0.62961644,0.05510129,0.061173417,0.013376675
10,64,64,4096,full_unit_dropout,dropout,0.45732442,0.057885736,0.3395813,0.0393968,0.037017375,0.022364965
10,64,64,4096,stochastic_depth,dropout,0.9541303,0.106430046,0.63014233,0.07208849,0.056528486,0.013955564
10,64,64,4096,single_source_M,dropout,0.90126485,0.07010999,0.6367435,0.05994743,0.060837038,0.012962541
10,128,64,8192,full_unit_dropout,dropout,0.36519226,0.049674034,0.2696842,0.032280724,0.030590434,0.013775742
10,128,64,8192,stochastic_depth,dropout,0.8212468,0.096000805,0.54232854,0.061603483,0.06329136,0.015081544
10,128,64,8192,single_source_M,dropout,0.9146411,0.065880716,0.64726466,0.060290255,0.059599422,0.013193734
10,64,128,8192,full_unit_dropout,dropout,0.36545116,0.036790878,0.27096614,0.0276048,0.028483301,0.008265743
10,64,128,8192,stochastic_depth,dropout,0.95083344,0.08447166,0.62645656,0.05981512,0.054883122,0.012701025
10,64,128,8192,single_source_M,dropout,0.7568242,0.05051776,0.55336654,0.036603067,0.049495533,0.01106213
10,128,128,16384,full_unit_dropout,dropout,0.28202906,0.037956476,0.2092696,0.027177157,0.022040203,0.0077849687
10,128,128,16384,stochastic_depth,dropout,0.81476134,0.08145562,0.53082216,0.044522334,0.06127603,0.014810763
10,128,128,16384,single_source_M,dropout,0.7571284,0.056976974,0.5522103,0.040306114,0.04807464,0.010051145
10,256,128,32768,full_unit_dropout,dropout,0.21166012,0.022118362,0.15885842,0.015635284,0.018297788,0.005433252
10,256,128,32768,stochastic_depth,dropout,0.69465303,0.07536864,0.45763713,0.03909922,0.051425837,0.009563185
10,256,128,32768,single_source_M,dropout,0.7588786,0.058147814,0.5542955,0.043708768,0.047195733,0.009235749
10,128,256,32768,full_unit_dropout,dropout,0.21089391,0.05077929,0.15242288,0.0328537,0.017763846,0.012260226
10,128,256,32768,stochastic_depth,dropout,0.8064572,0.087625004,0.5236432,0.050378773,0.05976371,0.015622711
10,128,256,32768,single_source_M,dropout,0.63422483,0.08958396,0.46911067,0.055213284,0.041807793,0.006307396
10,256,256,65536,full_unit_dropout,dropout,0.15910909,0.044902254,0.11400603,0.027782394,0.014247294,0.010070289
10,256,256,65536,stochastic_depth,dropout,0.6871327,0.078017436,0.45118952,0.041899145,0.04925167,0.009096936
10,256,256,65536,single_source_M,dropout,0.6357639,0.094351284,0.46991587,0.058152705,0.04252965,0.00618666
10,512,256,131072,full_unit_dropout,dropout,0.120660104,0.038428657,0.08656182,0.023893576,0.010583674,0.005850357
10,512,256,131072,stochastic_depth,dropout,0.5978114,0.08098377,0.3945912,0.046175227,0.040557966,0.0071277274
10,512,256,131072,single_source_M,dropout,0.64646256,0.0949163,0.47700757,0.057940163,0.042587064,0.0062543396
10,256,512,131072,full_unit_dropout,dropout,0.12882826,0.04863163,0.09421303,0.032415096,0.006696814,0.0025353255
10,256,512,131072,stochastic_depth,dropout,0.692115,0.08388283,0.4567801,0.0450086,0.05028137,0.009444415
10,256,512,131072,single_source_M,dropout,0.5010356,0.05524644,0.38169298,0.038013835,0.0384038,0.00980676
10,512,512,262144,full_unit_dropout,dropout,0.10134618,0.03778621,0.07527711,0.025666654,0.004427188,0.0017196804
10,512,512,262144,stochastic_depth,dropout,0.59865177,0.08334394,0.39604548,0.04620769,0.041095346,0.0071837264
10,512,512,262144,single_source_M,dropout,0.5039768,0.055703714,0.3847037,0.038525574,0.038358547,0.0094954185
10,1024,512,524288,full_unit_dropout,dropout,0.08114168,0.03051172,0.061520636,0.021055307,0.0030385442,0.00081641116
10,1024,512,524288,stochastic_depth,dropout,0.5032411,0.057060372,0.33756626,0.03440597,0.03352789,0.0074506616
10,1024,512,524288,single_source_M,dropout,0.503778,0.055069808,0.38448253,0.038828027,0.038201388,0.009645621
10,512,1024,524288,full_unit_dropout,dropout,0.06949287,0.035281952,0.049976416,0.023009144,0.0045849974,0.002628181
10,512,1024,524288,stochastic_depth,dropout,0.60567516,0.08805848,0.40001822,0.049559448,0.04088574,0.0073217447
10,512,1024,524288,single_source_M,dropout,0.38023028,0.040613435,0.2849852,0.024563603,0.026740503,0.0082347635
10,1024,1024,1048576,full_unit_dropout,dropout,0.046778012,0.0142847225,0.03406838,0.0094093615,0.0031784312,0.0014970824
10,1024,1024,1048576,stochastic_depth,dropout,0.5051249,0.05625965,0.3379617,0.03492918,0.033566132,0.0073883873
10,1024,1024,1048576,single_source_M,dropout,0.3831578,0.042191908,0.28715315,0.025487926,0.026601259,0.008183695
10,64,256,16384,full_unit_dropout,dropout,0.27217698,0.05385578,0.1981514,0.037876215,0.022345142,0.012708999
10,64,256,16384,stochastic_depth,dropout,0.93467486,0.088563465,0.60756356,0.057880368,0.0541566,0.013262084
10,64,256,16384,single_source_M,dropout,0.6255671,0.07997048,0.46224087,0.04709705,0.04174029,0.006852123
10,64,512,32768,full_unit_dropout,dropout,0.21618286,0.05265517,0.15677018,0.03417902,0.014253925,0.009297143
10,64,512,32768,stochastic_depth,dropout,0.9344141,0.08874099,0.61176676,0.05721623,0.05417154,0.013140559
10,64,512,32768,single_source_M,dropout,0.48428735,0.053200316,0.36749262,0.039586775,0.039329994,0.012707352
10,64,1024,65536,full_unit_dropout,dropout,0.15649417,0.05024454,0.11141346,0.031649187,0.014101145,0.0051426194
10,64,1024,65536,stochastic_depth,dropout,0.92636746,0.08340913,0.6070216,0.057365663,0.053620327,0.01282365
10,64,1024,65536,single_source_M,dropout,0.3591407,0.032375697,0.26791272,0.017393637,0.02771819,0.009063761
10,256,64,16384,full_unit_dropout,dropout,0.27713233,0.041941762,0.20444599,0.028609803,0.021227667,0.0079152845
10,256,64,16384,stochastic_depth,dropout,0.69833124,0.08240799,0.46351877,0.050563544,0.0533288,0.01089756
10,256,64,16384,single_source_M,dropout,0.90914804,0.06662988,0.6441361,0.05798145,0.06000916,0.013200585
10,512,64,32768,full_unit_dropout,dropout,0.20638795,0.024997016,0.15252885,0.017363964,0.016304143,0.0045896852
10,512,64,32768,stochastic_depth,dropout,0.6021582,0.077911906,0.39946195,0.044086404,0.042640682,0.005794596
10,512,64,32768,single_source_M,dropout,0.90883076,0.06670479,0.64894813,0.059523318,0.06040116,0.012976071
10,1024,64,65536,full_unit_dropout,dropout,0.15184656,0.013531915,0.11385969,0.009677265,0.012743032,0.0026368862
